,Zip Code,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Paperless Billing,Monthly Charges,Churn,CLTV,Gender_Female,Gender_Male,Contract_Month-to-month,Contract_One year,Contract_Two year,Payment Method_Bank transfer (automatic),Payment Method_Credit card (automatic),Payment Method_Electronic check,Payment Method_Mailed check,Multiple Lines_No,Multiple Lines_No phone service,Multiple Lines_Yes,Online Security_No,Online Security_No internet service,Online Security_Yes,Online Backup_No,Online Backup_No internet service,Online Backup_Yes,Device Protection_No,Device Protection_No internet service,Device Protection_Yes,Tech Support_No,Tech Support_No internet service,Tech Support_Yes,Internet Service_DSL,Internet Service_Fiber optic,Internet Service_No,Streaming TV_No,Streaming TV_No internet service,Streaming TV_Yes,Streaming Movies_No,Streaming Movies_No internet service,Streaming Movies_Yes
0,90003,0,0,0,-1.2366364187289942,1,1,-0.36263460888504345,1,-0.9816057937128421,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
1,90005,0,0,1,-1.2366364187289942,1,1,0.19735122115707743,1,-1.436359817313548,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
2,90006,0,0,1,-0.9923315820609102,1,1,1.1594633742561515,1,0.8213502143546405,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1
3,90010,0,1,1,-0.17798212650063028,1,1,1.330616313408491,1,0.5094464323682828,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1
4,90015,0,0,1,0.6770848018376636,1,1,1.294059374948768,1,0.7943016478951189,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1
5,90020,0,1,0,-0.9108966365048822,1,0,-0.3177692753208379,1,1.288783253483247,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0
6,90022,1,0,0,-1.2773538915070082,0,1,-0.8345514508196499,1,0.8729115441681035,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1
7,90024,0,0,0,-1.2773538915070082,1,0,-1.4826062689692852,1,0.3649056553502146,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0
8,90028,0,1,1,0.5956498562816357,1,1,1.1494933001307723,1,1.1738268460302805,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1
9,90029,0,1,0,-1.2773538915070082,0,0,-1.1486087857690883,1,-1.2554725291154976,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
10,90032,0,0,0,-0.6258743270587842,1,1,-0.0020502613505026797,1,-1.1650288850164725,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1
11,90039,0,0,1,-1.114484000394952,1,1,0.16411764073914742,1,-1.6451409396729797,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
12,90041,0,0,1,0.06632271016745371,1,1,1.3821283630562824,1,-1.2334955688671363,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1
